#Gaussian smoothing
# r(ang) gr
5.0 0.12532425697583746
5.020454457 0.2115569412788815
5.040908914 0.3267873542851035
5.061363371 0.46265233949157636
5.081817828 0.6030741494794759
5.102272285 0.7303601823541439
5.122726742 0.8335674198076569
5.143181199 0.9135717176531388
5.163635656 0.9813818368493525
5.184090113 1.0516839214102884
5.20454457 1.1370243290241224
5.224999027 1.24564236779435
5.245453484 1.3809228534062707
5.265907941 1.5394848361892974
5.286362398 1.7091655075566343
5.306816855 1.8713086507342274
5.327271312 2.0085549309410085
5.34772577 2.1128217749412874
5.368180227 2.1865960554602597
5.388634684 2.236933942721247
5.409089141 2.2686325599381743
5.429543598 2.282858522187683
5.449998055 2.2812324628793585
5.470452512 2.2702764307576593
5.490906969 2.2613803181813688
5.511361426 2.265799041564073
5.531815883 2.2887577641600805
5.55227034 2.327408539402932
5.572724797 2.3735145598208307
5.593179254 2.417715456647671
5.613633711 2.452200608772588
5.634088168 2.4714737481597857
5.654542625 2.472855849227257
5.674997082 2.457869791640778
5.695451539 2.433675458787069
5.715905996 2.4122475117310747
5.736360453 2.406023304144339
5.75681491 2.422158412391431
5.777269367 2.4597310679060937
5.797723824 2.5120508338340866
5.818178281 2.5715954970468475
5.838632738 2.6332430367674893
5.859087195 2.69428982460941
5.879541652 2.753354697183066
5.899996109 2.810197249539074
5.920450566 2.8657086196288235
5.940905023 2.920455369787157
5.96135948 2.9724935193824975
5.981813937 3.0171557824273982
6.002268394 3.0500282233001665
6.022722851 3.0707878413791088
6.043177309 3.0840312978143567
6.063631766 3.095814043336414
6.084086223 3.109028409331292
6.10454068 3.1221853094242515
6.124995137 3.132772280550696
6.145449594 3.141873695015404
6.165904051 3.1558120505044047
6.186358508 3.1832868706775557
6.206812965 3.2297859685257526
6.227267422 3.2929231842052196
6.247721879 3.362226034478197
6.268176336 3.424291529221836
6.288630793 3.470037113971249
6.30908525 3.4985796404440523
6.329539707 3.515192584272176
6.349994164 3.5263855202912033
6.370448621 3.537104485707193
6.390903078 3.55136496922369
6.411357535 3.573354434955873
6.431811992 3.606304228658244
6.452266449 3.6500859439907596
6.472720906 3.7004221706304286
6.493175363 3.7506308562589843
6.51362982 3.7941435415471343
6.534084277 3.826085407818194
6.554538734 3.8437498027453625
6.574993191 3.846037090759673
6.595447648 3.831533690203091
6.615902105 3.7960612312980664
6.636356562 3.732229704081711
6.656811019 3.6327342458764065
6.677265476 3.495577771065542
6.697719933 3.32666677569961
6.71817439 3.1368082327041815
6.738628848 2.935325681168993
6.759083305 2.7262991222510826
6.779537762 2.5110916634984677
6.799992219 2.293850100005237
6.820446676 2.0827952377797483
6.840901133 1.8847817850946835
6.86135559 1.6991532821959343
6.881810047 1.5188235803150152
6.902264504 1.338424786929473
6.922718961 1.1607566421797209
6.943173418 0.9947735492414707
6.963627875 0.8484853951041521
6.984082332 0.7250379744555501
7.004536789 0.6242748123216876
7.024991246 0.544891433146935
7.045445703 0.48366690527014367
7.06590016 0.43439253106299247
7.086354617 0.3902012471301223
